CDIM:       161
SDIM:       105
      0.96184015E+01     -0.95638774E-01      0.13444188E+01
      0.96186628E+01     -0.95639355E-01      0.13443649E+01
      0.96188631E+01     -0.95639817E-01      0.13443238E+01
      0.96190138E+01     -0.95640168E-01      0.13442923E+01
      0.96191292E+01     -0.95640428E-01      0.13442684E+01
      0.96192474E+01     -0.95640682E-01      0.13442440E+01
      0.96194382E+01     -0.95641121E-01      0.13442044E+01
      0.96197491E+01     -0.95641829E-01      0.13441404E+01
      0.96202526E+01     -0.95642969E-01      0.13440362E+01
      0.96210690E+01     -0.95644839E-01      0.13438672E+01
      0.96223936E+01     -0.95647886E-01      0.13435925E+01
      0.96245451E+01     -0.95652856E-01      0.13431462E+01
      0.96266966E+01     -0.95657907E-01      0.13426989E+01
      0.96288471E+01     -0.95662981E-01      0.13422508E+01
      0.96309977E+01     -0.95668100E-01      0.13418027E+01
      0.96323223E+01     -0.95671266E-01      0.13415265E+01
      0.96331406E+01     -0.95673211E-01      0.13413563E+01
      0.96336441E+01     -0.95674418E-01      0.13412513E+01
      0.96339550E+01     -0.95675118E-01      0.13411864E+01
      0.96341457E+01     -0.95675610E-01      0.13411466E+01
      0.96342640E+01     -0.95675886E-01      0.13411220E+01
      0.73746300E+01     -0.77482261E-01      0.16874373E+01
      0.73747458E+01     -0.77485308E-01      0.16874194E+01
      0.73748980E+01     -0.77489235E-01      0.16873977E+01
      0.73750973E+01     -0.77494346E-01      0.16873701E+01
      0.73753581E+01     -0.77501111E-01      0.16873325E+01
      0.73757005E+01     -0.77509932E-01      0.16872834E+01
      0.73761482E+01     -0.77521488E-01      0.16872190E+01
      0.73767347E+01     -0.77536643E-01      0.16871345E+01
      0.73775039E+01     -0.77556446E-01      0.16870238E+01
      0.73785119E+01     -0.77582397E-01      0.16868788E+01
      0.73798318E+01     -0.77616364E-01      0.16866888E+01
      0.73815618E+01     -0.77660799E-01      0.16864399E+01
      0.73838272E+01     -0.77718496E-01      0.16861125E+01
      0.73867974E+01     -0.77794902E-01      0.16856854E+01
      0.73906884E+01     -0.77894017E-01      0.16851254E+01
      0.73957863E+01     -0.78023352E-01      0.16843910E+01
      0.74024673E+01     -0.78191847E-01      0.16834282E+01
      0.74112210E+01     -0.78410894E-01      0.16821666E+01
      0.74226918E+01     -0.78694984E-01      0.16805124E+01
      0.74377232E+01     -0.79062253E-01      0.16783434E+01
      0.74574218E+01     -0.79535030E-01      0.16754985E+01
      0.74832363E+01     -0.80140106E-01      0.16717646E+01
      0.75170655E+01     -0.80906652E-01      0.16668545E+01
      0.75613995E+01     -0.81865557E-01      0.16603837E+01
      0.76057334E+01     -0.82773626E-01      0.16538705E+01
      0.76500654E+01     -0.83631761E-01      0.16473137E+01
      0.76943979E+01     -0.84441237E-01      0.16407173E+01
      0.77387352E+01     -0.85208818E-01      0.16341348E+01
      0.77830782E+01     -0.85937150E-01      0.16275843E+01
      0.78274255E+01     -0.86626813E-01      0.16210685E+01
      0.78717747E+01     -0.87278441E-01      0.16145848E+01
      0.79161167E+01     -0.87881640E-01      0.16080449E+01
      0.79604335E+01     -0.88405244E-01      0.16011840E+01
      0.80047350E+01     -0.88848770E-01      0.15939827E+01
      0.80490284E+01     -0.89213610E-01      0.15864393E+01
      0.80933237E+01     -0.89501351E-01      0.15785538E+01
      0.81376448E+01     -0.89761682E-01      0.15706904E+01
      0.81820059E+01     -0.90029001E-01      0.15631080E+01
      0.82264013E+01     -0.90303242E-01      0.15558074E+01
      0.82708263E+01     -0.90584442E-01      0.15487903E+01
      0.83152742E+01     -0.90869814E-01      0.15420296E+01
      0.83597317E+01     -0.91146067E-01      0.15353587E+01
      0.84041948E+01     -0.91409430E-01      0.15287460E+01
      0.84486628E+01     -0.91660246E-01      0.15221924E+01
      0.84931326E+01     -0.91896504E-01      0.15156898E+01
      0.85376024E+01     -0.92109680E-01      0.15091001E+01
      0.85820808E+01     -0.92273161E-01      0.15021639E+01
      0.86265755E+01     -0.92389308E-01      0.14948847E+01
      0.86710911E+01     -0.92458554E-01      0.14872605E+01
      0.87156525E+01     -0.92488401E-01      0.14793367E+01
      0.87602530E+01     -0.92580125E-01      0.14717950E+01
      0.88048811E+01     -0.92765279E-01      0.14648546E+01
      0.88495235E+01     -0.93042500E-01      0.14585240E+01
      0.88941689E+01     -0.93410589E-01      0.14528185E+01
      0.89388180E+01     -0.93833603E-01      0.14475316E+01
      0.89835281E+01     -0.94220862E-01      0.14420859E+01
      0.90283041E+01     -0.94566606E-01      0.14364322E+01
      0.90731525E+01     -0.94869599E-01      0.14305594E+01
      0.91180134E+01     -0.95128752E-01      0.14244710E+01
